,"en","es","pt_BR","zh_Hans","ru","fr","de","it","pt",,"el","tr","da","nb","sv","nl","pl","fi","ja",,"zh_Hant","ko","cs","hu","ro","th","bg","he","ar","bs","uk"
"SITE SAFETY","Site Safety","Seguridad","Segurança do local","工地安全","Безопасность на объекте",,,,,,,,,,,,,,,,,,,,,,,,,,
"ANOMALY DETECTED","In case of Anomaly","En caso de Anomalía","Em caso de Anomalia","异常情况","В случае аномалии",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVE BATTERY","Shutdown all robots","Apagar a todos los robots","Desligar todos os robôs","关闭所有机器人","Отключите всех роботов",,,,,,,,,,,,,,,,,,,,,,,,,,
"SHUTDOWN SUSPICIOUS","Remove brain from the anomalous robot","Quitarle cerebro al robot anómalo","Remova o cérebro do robô anômalo","移除异常机器人的大脑","Извлеките мозг из аномального робота",,,,,,,,,,,,,,,,,,,,,,,,,,
"GOTO GROUND FLOOR","Leave the building","Abandonar el edificio","Sair do edifício","离开大楼","Покиньте здание",,,,,,,,,,,,,,,,,,,,,,,,,,
"HARMLESS ROBOT","Robot off is a harmless robot","Un robot apagado, robot inofensivo","O robô desligado é um robô inofensivo","机器人关闭是一个无害的机器人","Робот Off - безобидный робот",,,,,,,,,,,,,,,,,,,,,,,,,,
"NEVER GO BACK","Never go back","Nunca vuelvas hacia atrás","Nunca mais voltar","永不回头","Никогда не возвращайтесь",,,,,,,,,,,,,,,,,,,,,,,,,,
"ANOMALY IN YOUR SHIFT","Damages due to anomaly will be deducted from your salary","Daños por anomalía serán deducidos de su paga","Os danos causados por anomalias serão deduzidos de seu salário","异常情况造成的损失将从您的工资中扣除","Ущерб, причиненный аномалией, будет вычтен из вашей зарплаты",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ERRORS","Errors","Errores","Erros","错误","Ошибки",,,,,,,,,,,,,,,,,,,,,,,,,,
"ERROR ANOMALY ON","Robot with anomaly had brain","Un robot anómalo tenía cerebro","Robô com anomalia tinha cérebro","大脑异常的机器人","У робота с аномалией появился мозг",,,,,,,,,,,,,,,,,,,,,,,,,,
"ERROR OFF NO ANOMALY","Missing brain on robot without anomaly","Falta el cerebro en un robot sin anomalía","Cérebro ausente em robô sem anomalia","没有异常的机器人没有大脑","Отсутствие мозга у робота без аномалии",,,,,,,,,,,,,,,,,,,,,,,,,,
"ERROR FULL BATTERY","A Robot was powered on","Un robot estaba encendido","Um robô foi ligado","没有异常的机器人大脑缺失","Робот был включен",,,,,,,,,,,,,,,,,,,,,,,,,,
"NO ERROR","No errors","Sin errores","Sem erros","无差错","Нет ошибок",,,,,,,,,,,,,,,,,,,,,,,,,,
"FOUND ANOMALIES","Found anomalies","Anomalías encontradas","Anomalias encontradas","发现异常","Найденные аномалии",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOLLOW ME","Follow me on:","Sigueme en:","Siga-me em:","关注我","Следуйте за мной:",,,,,,,,,,,,,,,,,,,,,,,,,,
"SEND FEEDBACK","Send Feedback","Enviar Feedback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"REPORT TRANSLATION ISSUE","Report translation issue","Reportar un problema de traducción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PROVIDE FEEDBACK AND QUIT","Review and quit","Reseñar y salir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
